"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Non-standard Age Adjusted Rate	Non-standard Age Adjusted Rate Lower 95% Confidence Interval	Non-standard Age Adjusted Rate Upper 95% Confidence Interval	Non-standard Age Adjusted Rate Standard Error
	"Georgia"	"13"	"Legal intervention involving firearm discharge"	"Y35.0"	16	59034927	Unreliable	Unreliable	0.0	0.0	0.0
	"Idaho"	"16"	"Intentional self-harm by handgun discharge"	"X72"	111	10117751	1.1	1.1	0.9	1.3	0.1
	"Idaho"	"16"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	88	10117751	0.9	0.9	0.7	1.1	0.1
	"Idaho"	"16"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	10	10117751	Unreliable	Unreliable	0.0	0.2	0.0
	"Illinois"	"17"	"Intentional self-harm by handgun discharge"	"X72"	56	75506930	0.1	0.1	0.1	0.1	0.0
	"Illinois"	"17"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	58	75506930	0.1	0.1	0.1	0.1	0.0
	"Illinois"	"17"	"Assault by handgun discharge"	"X93"	38	75506930	0.1	0.1	0.0	0.1	0.0
	"Illinois"	"17"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	57	75506930	0.1	0.1	0.1	0.1	0.0
	"Illinois"	"17"	"Legal intervention involving firearm discharge"	"Y35.0"	25	75506930	0.0	0.0	0.0	0.1	0.0
	"Indiana"	"18"	"Intentional self-harm by handgun discharge"	"X72"	106	39029512	0.3	0.3	0.2	0.3	0.0
	"Indiana"	"18"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	56	39029512	0.1	0.1	0.1	0.2	0.0
	"Indiana"	"18"	"Assault by handgun discharge"	"X93"	54	39029512	0.1	0.2	0.1	0.2	0.0
	"Indiana"	"18"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	36	39029512	0.1	0.1	0.1	0.2	0.0
	"Indiana"	"18"	"Handgun discharge, undetermined intent"	"Y22"	10	39029512	Unreliable	Unreliable	0.0	0.1	0.0
	"Iowa"	"19"	"Intentional self-harm by handgun discharge"	"X72"	89	18001523	0.5	0.5	0.4	0.6	0.1
	"Iowa"	"19"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	165	18001523	0.9	0.9	0.7	1.0	0.1
	"Iowa"	"19"	"Assault by handgun discharge"	"X93"	21	18001523	0.1	0.1	0.1	0.2	0.0
	"Iowa"	"19"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	25	18001523	0.1	0.1	0.1	0.2	0.0
	"Kansas"	"20"	"Intentional self-harm by handgun discharge"	"X72"	35	17531052	0.2	0.2	0.1	0.3	0.0
	"Kansas"	"20"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	55	17531052	0.3	0.3	0.2	0.4	0.0
	"Kansas"	"20"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	13	17531052	Unreliable	Unreliable	0.0	0.1	0.0
	"Kentucky"	"21"	"Intentional self-harm by handgun discharge"	"X72"	28	24746304	0.1	0.1	0.1	0.2	0.0
	"Kentucky"	"21"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	51	24746304	0.2	0.2	0.2	0.3	0.0
	"Kentucky"	"21"	"Assault by handgun discharge"	"X93"	21	24746304	0.1	0.1	0.1	0.1	0.0
	"Kentucky"	"21"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	16	24746304	Unreliable	Unreliable	0.0	0.1	0.0
	"Louisiana"	"22"	"Intentional self-harm by handgun discharge"	"X72"	11	27844343	Unreliable	Unreliable	0.0	0.1	0.0
	"Louisiana"	"22"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	56	27844343	0.2	0.2	0.2	0.3	0.0
	"Louisiana"	"22"	"Assault by handgun discharge"	"X93"	22	27844343	0.1	0.1	0.0	0.1	0.0
	"Louisiana"	"22"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	33	27844343	0.1	0.1	0.1	0.2	0.0
	"Maine"	"23"	"Intentional self-harm by handgun discharge"	"X72"	40	6832419	0.6	0.5	0.4	0.7	0.1
	"Maine"	"23"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	58	6832419	0.8	0.8	0.6	1.0	0.1
	"Maine"	"23"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	12	6832419	Unreliable	Unreliable	0.1	0.3	0.0
	"Maryland"	"24"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	62	33221478	0.2	0.2	0.1	0.2	0.0
	"Maryland"	"24"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	35	33221478	0.1	0.1	0.1	0.2	0.0
	"Maryland"	"24"	"Legal intervention involving firearm discharge"	"Y35.0"	22	33221478	0.1	0.1	0.0	0.1	0.0
	"Massachusetts"	"25"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	13	35723349	Unreliable	Unreliable	0.0	0.1	0.0
	"Massachusetts"	"25"	"Assault by handgun discharge"	"X93"	16	35723349	Unreliable	Unreliable	0.0	0.1	0.0
	"Michigan"	"26"	"Intentional self-harm by handgun discharge"	"X72"	56	58428647	0.1	0.1	0.1	0.1	0.0
	"Michigan"	"26"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	178	58428647	0.3	0.3	0.3	0.3	0.0
	"Michigan"	"26"	"Assault by handgun discharge"	"X93"	16	58428647	Unreliable	Unreliable	0.0	0.0	0.0
	"Michigan"	"26"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	57	58428647	0.1	0.1	0.1	0.1	0.0
	"Michigan"	"26"	"Legal intervention involving firearm discharge"	"Y35.0"	13	58428647	Unreliable	Unreliable	0.0	0.0	0.0
	"Minnesota"	"27"	"Intentional self-harm by handgun discharge"	"X72"	62	31539456	0.2	0.2	0.2	0.3	0.0
	"Minnesota"	"27"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	167	31539456	0.5	0.5	0.5	0.6	0.0
	"Minnesota"	"27"	"Assault by handgun discharge"	"X93"	12	31539456	Unreliable	Unreliable	0.0	0.1	0.0
	"Minnesota"	"27"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	19	31539456	Unreliable	Unreliable	0.0	0.1	0.0
	"Mississippi"	"28"	"Intentional self-harm by handgun discharge"	"X72"	62	18345934	0.3	0.3	0.2	0.4	0.0
	"Mississippi"	"28"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	86	18345934	0.5	0.5	0.4	0.6	0.1
	"Mississippi"	"28"	"Assault by handgun discharge"	"X93"	120	18345934	0.7	0.6	0.5	0.8	0.1
	"Mississippi"	"28"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	31	18345934	0.2	0.2	0.1	0.2	0.0
	"Mississippi"	"28"	"Handgun discharge, undetermined intent"	"Y22"	10	18345934	Unreliable	Unreliable	0.0	0.1	0.0
	"Missouri"	"29"	"Intentional self-harm by handgun discharge"	"X72"	191	34632012	0.6	0.6	0.5	0.6	0.0
	"Missouri"	"29"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	157	34632012	0.5	0.5	0.4	0.5	0.0
	"Missouri"	"29"	"Assault by handgun discharge"	"X93"	128	34632012	0.4	0.4	0.3	0.4	0.0
	"Missouri"	"29"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	67	34632012	0.2	0.2	0.2	0.3	0.0
	"Missouri"	"29"	"Handgun discharge, undetermined intent"	"Y22"	12	34632012	Unreliable	Unreliable	0.0	0.1	0.0
	"Montana"	"30"	"Intentional self-harm by handgun discharge"	"X72"	32	5562664	0.6	0.6	0.4	0.8	0.1
	"Montana"	"30"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	33	5562664	0.6	0.6	0.4	0.8	0.1
	"Montana"	"30"	"Assault by handgun discharge"	"X93"	16	5562664	Unreliable	Unreliable	0.2	0.5	0.1
	"Nebraska"	"31"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	46	11306792	0.4	0.4	0.3	0.6	0.1
	"Nevada"	"32"	"Intentional self-harm by handgun discharge"	"X72"	44	15270073	0.3	0.3	0.2	0.4	0.0
	"Nevada"	"32"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	32	15270073	0.2	0.2	0.2	0.3	0.0
	"Nevada"	"32"	"Assault by handgun discharge"	"X93"	20	15270073	0.1	0.1	0.1	0.2	0.0
	"Nevada"	"32"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	15	15270073	Unreliable	Unreliable	0.1	0.2	0.0
	"Nevada"	"32"	"Legal intervention involving firearm discharge"	"Y35.0"	10	15270073	Unreliable	Unreliable	0.0	0.1	0.0
	"New Hampshire"	"33"	"Intentional self-harm by handgun discharge"	"X72"	23	7115823	0.3	0.3	0.2	0.5	0.1
	"New Hampshire"	"33"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	26	7115823	0.4	0.3	0.2	0.5	0.1
	"New Jersey"	"34"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	26	49779402	0.1	0.1	0.0	0.1	0.0
	"New Jersey"	"34"	"Assault by handgun discharge"	"X93"	17	49779402	Unreliable	Unreliable	0.0	0.1	0.0
	"New Jersey"	"34"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	23	49779402	0.0	0.0	0.0	0.1	0.0
	"New Mexico"	"35"	"Intentional self-harm by handgun discharge"	"X72"	134	12309063	1.1	1.1	0.9	1.3	0.1
	"New Mexico"	"35"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	80	12309063	0.6	0.7	0.5	0.8	0.1
	"New Mexico"	"35"	"Assault by handgun discharge"	"X93"	82	12309063	0.7	0.7	0.5	0.8	0.1
	"New Mexico"	"35"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	40	12309063	0.3	0.3	0.2	0.5	0.1
	"New Mexico"	"35"	"Legal intervention involving firearm discharge"	"Y35.0"	11	12309063	Unreliable	Unreliable	0.0	0.2	0.0
	"New York"	"36"	"Intentional self-harm by handgun discharge"	"X72"	13	107658204	Unreliable	Unreliable	0.0	0.0	0.0
	"New York"	"36"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	118	107658204	0.1	0.1	0.1	0.1	0.0
	"New York"	"36"	"Assault by handgun discharge"	"X93"	10	107658204	Unreliable	Unreliable	0.0	0.0	0.0
	"New York"	"36"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	55	107658204	0.1	0.0	0.0	0.0	0.0
	"New York"	"36"	"Legal intervention involving firearm discharge"	"Y35.0"	28	107658204	0.0	0.0	0.0	0.0	0.0
	"North Carolina"	"37"	"Intentional self-harm by handgun discharge"	"X72"	86	54123771	0.2	0.1	0.1	0.2	0.0
	"North Carolina"	"37"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	77	54123771	0.1	0.1	0.1	0.2	0.0
	"North Carolina"	"37"	"Assault by handgun discharge"	"X93"	42	54123771	0.1	0.1	0.1	0.1	0.0
	"North Carolina"	"37"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	72	54123771	0.1	0.1	0.1	0.2	0.0
	"North Dakota"	"38"	"Intentional self-harm by handgun discharge"	"X72"	25	4026387	0.6	0.6	0.4	0.9	0.1
	"North Dakota"	"38"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	45	4026387	1.1	1.1	0.8	1.4	0.2
	"Ohio"	"39"	"Intentional self-harm by handgun discharge"	"X72"	68	67138178	0.1	0.1	0.1	0.1	0.0
	"Ohio"	"39"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	113	67138178	0.2	0.2	0.1	0.2	0.0
	"Ohio"	"39"	"Assault by handgun discharge"	"X93"	78	67138178	0.1	0.1	0.1	0.1	0.0
	"Ohio"	"39"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	44	67138178	0.1	0.1	0.0	0.1	0.0
	"Ohio"	"39"	"Legal intervention involving firearm discharge"	"Y35.0"	22	67138178	0.0	0.0	0.0	0.1	0.0
	"Oklahoma"	"40"	"Intentional self-harm by handgun discharge"	"X72"	217	22651510	1.0	1.0	0.8	1.1	0.1
	"Oklahoma"	"40"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	126	22651510	0.6	0.6	0.5	0.7	0.1
	"Oklahoma"	"40"	"Assault by handgun discharge"	"X93"	142	22651510	0.6	0.6	0.5	0.7	0.1
	"Oklahoma"	"40"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	49	22651510	0.2	0.2	0.2	0.3	0.0
	"Oklahoma"	"40"	"Legal intervention involving firearm discharge"	"Y35.0"	10	22651510	Unreliable	Unreliable	0.0	0.1	0.0
	"Oregon"	"41"	"Intentional self-harm by handgun discharge"	"X72"	180	21093334	0.9	0.9	0.7	1.0	0.1
	"Oregon"	"41"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	109	21093334	0.5	0.5	0.4	0.6	0.1
	"Oregon"	"41"	"Assault by handgun discharge"	"X93"	52	21093334	0.2	0.3	0.2	0.3	0.0
	"Oregon"	"41"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	24	21093334	0.1	0.1	0.1	0.2	0.0
	"Oregon"	"41"	"Legal intervention involving firearm discharge"	"Y35.0"	10	21093334	Unreliable	Unreliable	0.0	0.1	0.0
	"Pennsylvania"	"42"	"Intentional self-harm by handgun discharge"	"X72"	57	69171293	0.1	0.1	0.1	0.1	0.0
	"Pennsylvania"	"42"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	95	69171293	0.1	0.1	0.1	0.2	0.0
	"Pennsylvania"	"42"	"Assault by handgun discharge"	"X93"	21	69171293	0.0	0.0	0.0	0.0	0.0
	"Pennsylvania"	"42"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	40	69171293	0.1	0.1	0.0	0.1	0.0
	"Pennsylvania"	"42"	"Legal intervention involving firearm discharge"	"Y35.0"	15	69171293	Unreliable	Unreliable	0.0	0.0	0.0
	"South Carolina"	"45"	"Intentional self-harm by handgun discharge"	"X72"	17	26368780	Unreliable	Unreliable	0.0	0.1	0.0
	"South Carolina"	"45"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	38	26368780	0.1	0.1	0.1	0.2	0.0
	"South Carolina"	"45"	"Assault by handgun discharge"	"X93"	17	26368780	Unreliable	Unreliable	0.0	0.1	0.0
	"South Carolina"	"45"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	42	26368780	0.2	0.2	0.1	0.2	0.0
	"South Dakota"	"46"	"Intentional self-harm by handgun discharge"	"X72"	42	5049875	0.8	0.8	0.6	1.1	0.1
	"South Dakota"	"46"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	81	5049875	1.6	1.6	1.3	2.0	0.2
	"South Dakota"	"46"	"Assault by handgun discharge"	"X93"	10	5049875	Unreliable	Unreliable	0.1	0.4	0.1
	"South Dakota"	"46"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	11	5049875	Unreliable	Unreliable	0.1	0.4	0.1
	"Tennessee"	"47"	"Intentional self-harm by handgun discharge"	"X72"	29	36019247	0.1	0.1	0.1	0.1	0.0
	"Tennessee"	"47"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	75	36019247	0.2	0.2	0.2	0.3	0.0
	"Tennessee"	"47"	"Assault by handgun discharge"	"X93"	28	36019247	0.1	0.1	0.1	0.1	0.0
	"Tennessee"	"47"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	36	36019247	0.1	0.1	0.1	0.1	0.0
	"Texas"	"48"	"Intentional self-harm by handgun discharge"	"X72"	172	164014554	0.1	0.1	0.1	0.1	0.0
	"Texas"	"48"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	371	164014554	0.2	0.2	0.2	0.3	0.0
	"Texas"	"48"	"Assault by handgun discharge"	"X93"	115	164014554	0.1	0.1	0.0	0.1	0.0
	"Texas"	"48"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	235	164014554	0.1	0.1	0.1	0.2	0.0
	"Texas"	"48"	"Legal intervention involving firearm discharge"	"Y35.0"	49	164014554	0.0	0.0	0.0	0.0	0.0
	"Utah"	"49"	"Intentional self-harm by handgun discharge"	"X72"	182	20439098	0.9	0.9	0.8	1.1	0.1
	"Utah"	"49"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	131	20439098	0.6	0.7	0.6	0.8	0.1
	"Utah"	"49"	"Assault by handgun discharge"	"X93"	14	20439098	Unreliable	Unreliable	0.0	0.1	0.0
	"Vermont"	"50"	"Intentional self-harm by handgun discharge"	"X72"	17	3323086	Unreliable	Unreliable	0.3	0.7	0.1
	"Vermont"	"50"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	23	3323086	0.7	0.6	0.4	0.9	0.1
	"Virginia"	"51"	"Intentional self-harm by handgun discharge"	"X72"	193	45083923	0.4	0.4	0.4	0.5	0.0
	"Virginia"	"51"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	144	45083923	0.3	0.3	0.3	0.4	0.0
	"Virginia"	"51"	"Assault by handgun discharge"	"X93"	358	45083923	0.8	0.8	0.7	0.9	0.0
	"Virginia"	"51"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	59	45083923	0.1	0.1	0.1	0.2	0.0
	"Virginia"	"51"	"Legal intervention involving firearm discharge"	"Y35.0"	18	45083923	Unreliable	Unreliable	0.0	0.1	0.0
	"Washington"	"53"	"Intentional self-harm by handgun discharge"	"X72"	284	38530341	0.7	0.8	0.7	0.8	0.0
	"Washington"	"53"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	184	38530341	0.5	0.5	0.4	0.6	0.0
	"Washington"	"53"	"Assault by handgun discharge"	"X93"	78	38530341	0.2	0.2	0.2	0.3	0.0
	"Washington"	"53"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	33	38530341	0.1	0.1	0.1	0.1	0.0
	"Washington"	"53"	"Legal intervention involving firearm discharge"	"Y35.0"	14	38530341	Unreliable	Unreliable	0.0	0.1	0.0
	"West Virginia"	"54"	"Intentional self-harm by handgun discharge"	"X72"	48	9514000	0.5	0.5	0.4	0.6	0.1
	"West Virginia"	"54"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	45	9514000	0.5	0.5	0.3	0.6	0.1
	"West Virginia"	"54"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	27	9514000	0.3	0.3	0.2	0.4	0.1
	"Wisconsin"	"55"	"Intentional self-harm by handgun discharge"	"X72"	165	32742077	0.5	0.5	0.4	0.6	0.0
	"Wisconsin"	"55"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	276	32742077	0.8	0.8	0.7	0.9	0.0
	"Wisconsin"	"55"	"Assault by handgun discharge"	"X93"	282	32742077	0.9	0.8	0.7	0.9	0.1
	"Wisconsin"	"55"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	53	32742077	0.2	0.2	0.1	0.2	0.0
	"Wyoming"	"56"	"Intentional self-harm by handgun discharge"	"X72"	39	3245624	1.2	1.2	0.8	1.6	0.2
	"Wyoming"	"56"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	35	3245624	1.1	1.1	0.7	1.5	0.2
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"ICD-10 Codes: X72 (Intentional self-harm by handgun discharge); X73 (Intentional self-harm by rifle, shotgun and larger firearm"
"discharge); X93 (Assault by handgun discharge); X94 (Assault by rifle, shotgun and larger firearm discharge); Y22 (Handgun"
"discharge, undetermined intent); Y23 (Rifle, shotgun and larger firearm discharge, undetermined intent); Y35.0 (Legal"
"intervention involving firearm discharge)"
"Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;"
"12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years"
"Group By: State; Cause of death"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"Non-standard Age Adjusted Rate Parameters:"
"Census Regions: All"
"Gender: All"
"HHS Regions: All"
"Hispanic Origin: All"
"Race: All"
"States: All"
"Year/Month: 2019; 2020"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 27, 2022 2:28:16 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on May 27, 2022 2:28:16 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"5. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"6. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"7. The criteria used to determine the populations for the non-standard age-adjusted rates are documented in the Query Criteria"
"section below."
